win_or_lose,time,score,alg
0,18742,5,expectimax
0,32494,4,expectimax
1,128267,5,expectimax
0,149027,4,expectimax
0,19038,3,expectimax
0,35179,4,expectimax
0,50853,4,expectimax
0,13421,4,expectimax
0,49923,5,expectimax
0,75374,4,expectimax
0,108852,4,expectimax
0,146914,4,expectimax
1,34411,5,expectimax
0,52104,4,expectimax
0,14392,4,expectimax
0,31640,3,expectimax
0,60366,4,expectimax
0,32572,5,expectimax
0,32062,4,expectimax
0,28830,5,expectimax
0,53539,4,expectimax
0,89687,4,expectimax
0,118463,4,expectimax
0,136711,4,expectimax
0,157140,4,expectimax
0,175194,3,expectimax
0,196224,4,expectimax
0,227007,4,expectimax
0,261358,4,expectimax
0,281156,4,expectimax
0,297148,3,expectimax
0,311653,4,expectimax
1,343935,5,expectimax
0,344070,5,expectimax
0,368589,5,expectimax
1,399957,5,expectimax
0,399991,5,expectimax
0,429046,4,expectimax
0,454231,4,expectimax
0,485024,4,expectimax
0,508024,4,expectimax
0,530423,4,expectimax
0,539523,3,expectimax
0,558718,3,expectimax
0,581624,4,expectimax
0,609843,3,expectimax
0,634435,5,expectimax
0,658499,4,expectimax
1,34443,5,expectimax
0,13617,4,expectimax
